command|exit
git diff --check|0
cargo fmt --check|0
cargo check --locked|0
cargo test --locked|0
cargo clippy --locked --all-targets --features desktop -- -D warnings|0
cargo check --locked --bin nte-core --no-default-features --features cli|0
cargo test --locked --no-default-features --features cli|0
cargo clippy --locked --all-targets --no-default-features --features cli -- -D warnings|0
cargo fmt --check --manifest-path src-tauri/Cargo.toml|0
cargo check --locked --manifest-path src-tauri/Cargo.toml|0
cargo test --locked --manifest-path src-tauri/Cargo.toml|0
cargo clippy --locked --manifest-path src-tauri/Cargo.toml --all-targets -- -D warnings|0
CI=true pnpm --dir frontend lint|0
CI=true pnpm --dir frontend typecheck|0
CI=true pnpm --dir frontend test|0
CI=true pnpm --dir frontend build|0
pwsh -NoProfile -File scripts/verify_architecture.ps1|0
pwsh -NoProfile -File scripts/verify_runtime_safety.ps1|0
pwsh -NoProfile -File native/nte-mods-plugin/tests/native_lifecycle_source_tests.ps1|0
pwsh -NoProfile -File native/nte-mod-loader/tests/manual_map_protocol_source_tests.ps1|0
"C:\Program Files\Microsoft Visual Studio\18\Community\MSBuild\Current\Bin\MSBuild.exe" native\nte-mods-plugin\nte-mods-plugin.vcxproj /t:Clean,Build /p:Configuration=Release /p:Platform=x64 /m /nologo /v:minimal|0
"C:\Program Files\Microsoft Visual Studio\18\Community\MSBuild\Current\Bin\MSBuild.exe" native\nte-mod-loader\nte-mod-loader.sln /t:Clean,Build /p:Configuration=Release /p:Platform=x64 /m /nologo /v:minimal|0
native\nte-mod-loader\bin\Release\nte-mod-loader-tests.exe|0
